id,address,city,latitude,longitude,site_score,state_name,county_name,tract,block_group,tot_population_cen_2010,hispanic_cen_2010,nh_blk_alone_cen_2010,nh_aian_alone_cen_2010,nh_asian_alone_cen_2010,nh_nhopi_alone_cen_2010,nh_sor_alone_cen_2010,college_acs_09_13,no_health_ins_acs_09_13,med_hhd_inc_bg_acs_09_13,aggregate_hh_inc_acs_09_13,tot_vacant_units_cen_2010,renter_occp_hu_cen_2010,owner_occp_hu_cen_2010,no_plumb_acs_09_13,med_house_value_bg_acs_09_13,pct_hispanic_cen_2010,pct_nh_blk_alone_cen_2010,pct_nh_aian_alone_cen_2010,pct_nh_asian_alone_cen_2010,pct_nh_nhopi_alone_cen_2010,pct_nh_sor_alone_cen_2010,pct_not_hs_grad_acs_09_13,pct_no_health_ins_acs_09_13,pct_vacant_units_cen_2010,pct_renter_occp_hu_cen_2010,pct_owner_occp_hu_cen_2010,pct_no_plumb_acs_09_13,pct_poc
1,"STATE HWY 235, CHILDERSBURG, AL 35044",Childersburg,33.286432,-86.3588071,36.83,Alabama,Talladega County,11300,1,1449.0,18.0,270.0,1.0,3.0,0.0,2.0,168.0,67.0,36534.0,24820900.0,91.0,117.0,498.0,0.0,108600.0,1.24,18.63,0.07,0.21,0.0,0.14,17.62,5.32,12.89,19.02,80.98,0.0,20.29
2,"570 HIGHWAY 231 NORTH, VINCENT, AL 35178",Vincent,33.3992313,-86.4049851,30.2,Alabama,Shelby County,30102,1,1401.0,12.0,411.0,4.0,0.0,0.0,0.0,68.0,205.0,50219.0,28927500.0,57.0,92.0,483.0,41.0,78100.0,0.86,29.34,0.29,0.0,0.0,0.0,30.23,14.5,9.02,16.0,84.0,7.02,30.49
3,"3017 BIRMINGHAM HWY, MONTGOMERY, AL 36108",Montgomery,32.3670357,-86.3729352,44.46,Alabama,Montgomery County,6000,1,917.0,406.0,341.0,0.0,0.0,0.0,1.0,33.0,408.0,30930.0,10671000.0,95.0,99.0,200.0,0.0,23700.0,44.27,37.19,0.0,0.0,0.0,0.11,50.87,33.92,24.11,33.11,66.89,0.0,81.57000000000001
4,"12504 AND 12512 E. WHITTIER BOULEVARD, WHITTIER, CA 90602",Whittier,33.9694468,-118.0434426,30.94,California,Los Angeles County,502100,2,2361.0,1931.0,30.0,10.0,40.0,1.0,2.0,176.0,608.0,39925.0,38797600.0,27.0,447.0,276.0,28.0,312300.0,81.79,1.27,0.42,1.69,0.04,0.08,31.43,22.99,3.6,61.83,38.17,3.52,85.29
5,"ROUTE 950, FALLS CREEK, PA 15840",Falls Creek,41.1450611,-78.8043651,30.22,Pennsylvania,Jefferson County,950300,5,989.0,5.0,4.0,2.0,2.0,0.0,0.0,71.0,117.0,40573.0,21220700.0,35.0,120.0,310.0,10.0,74900.0,0.51,0.4,0.2,0.2,0.0,0.0,7.7,10.7,7.53,27.91,72.09,2.06,1.31
6,"RD #1, UNION TOWNSHIP, PA 17331",Union Township,39.7542614,-77.0449327,33.76,Pennsylvania,Adams County,31203,1,3148.0,67.0,20.0,4.0,23.0,0.0,2.0,397.0,249.0,73895.0,94033700.0,63.0,134.0,1010.0,16.0,238000.0,2.13,0.64,0.13,0.73,0.0,0.06,11.32,7.88,5.22,11.71,88.29,1.3900000000000001,3.69
7,"COLD STREAM &amp; HARES HILL ROADS, EAST PIKELAND TOWNSHIP, PA 19442",Kimberton Borough,40.1336266,-75.5778849,29.44,Pennsylvania,Chester County,301000,2,960.0,11.0,16.0,0.0,12.0,0.0,1.0,310.0,47.0,108289.0,31561900.0,25.0,139.0,312.0,0.0,356400.0,1.15,1.67,0.0,1.25,0.0,0.1,7.45,5.75,5.25,30.82,69.18,0.0,4.17
8,"N FRANKLIN ST, FRANKLIN COUNTY, PA 17201",Franklin County,39.9449996,-77.6674469,37.51,Pennsylvania,Franklin County,11200,1,930.0,141.0,79.0,2.0,21.0,0.0,3.0,24.0,235.0,35150.0,15011200.0,47.0,219.0,145.0,25.0,95200.0,15.16,8.49,0.22,2.26,0.0,0.32,19.31,21.27,11.44,60.16,39.84,5.58,26.449999999999996
9,"N FRANKLIN ST EXT, CHAMBERSBURG, PA 17201",Chambersburg,39.947575,-77.669615,34.21,Pennsylvania,Franklin County,11200,2,789.0,114.0,70.0,3.0,3.0,0.0,5.0,31.0,72.0,42143.0,11936200.0,25.0,137.0,184.0,0.0,142800.0,14.45,8.87,0.38,0.38,0.0,0.63,23.85,11.48,7.23,42.68,57.32,0.0,24.709999999999997
10,"RTE 28 &amp; SPRING HILL ROAD, HARRISON TOWNSHIP, PA 15065",Harrison Township,40.63664,-79.71669,51.62,Pennsylvania,Allegheny County,401100,4,993.0,8.0,7.0,1.0,5.0,0.0,2.0,229.0,297.0,42813.0,26598000.0,27.0,103.0,347.0,0.0,94800.0,0.81,0.7000000000000001,0.1,0.5,0.0,0.2,14.49,20.8,5.66,22.89,77.11,0.0,2.3100000000000005
11,"RD #1 PIEPER ROAD, GIRARD TOWNSHIP, PA 16417",Girard Township,41.9743464,-80.3101684,38.89,Pennsylvania,Erie County,10202,1,1015.0,4.0,4.0,0.0,2.0,6.0,1.0,219.0,116.0,68617.0,39670400.0,32.0,26.0,339.0,0.0,133000.0,0.39,0.39,0.0,0.2,0.59,0.1,9.33,9.76,8.06,7.12,92.88,0.0,1.67
12,"DARBY CRK BETWEEN , DARBY TWP, PA 19023",Darby Township,39.9200613,-75.26832279999999,50.0,Pennsylvania,Delaware County,402600,2,1436.0,24.0,702.0,5.0,21.0,0.0,1.0,179.0,102.0,39330.0,18120800.0,41.0,106.0,230.0,0.0,104300.0,1.67,48.89,0.35000000000000003,1.46,0.0,0.07,20.07,7.03,10.88,31.55,68.45,0.0,52.440000000000005
13,"258 N PHOENIXVILLE PK, MALVERN, PA 19355",Malvern,40.060908,-75.570648,46.69,Pennsylvania,Chester County,302101,2,3564.0,200.0,82.0,3.0,569.0,0.0,10.0,1253.0,255.0,129904.0,173257500.0,35.0,123.0,1081.0,0.0,448800.0,5.61,2.3,0.08,15.97,0.0,0.28,5.19,7.88,2.8200000000000003,10.22,89.78,0.0,24.240000000000002
14,"COTTMAN &amp; DELAWARE AVE, PHILADELPHIA, PA 19135",Philadelphia,40.0203813,-75.0552739,33.23,Pennsylvania,Philadelphia County,32300,2,1502.0,238.0,412.0,0.0,24.0,1.0,2.0,109.0,95.0,45085.0,20303900.0,41.0,187.0,339.0,0.0,94700.0,15.85,27.43,0.0,1.6,0.07,0.13,23.62,7.97,7.23,35.55,64.45,0.0,45.080000000000005
15,"900 N POTRERO GRANDE DR, MONTEREY PARK, CA 91754",Monterey Park,34.0328348,-118.1133754,57.22,California,Los Angeles County,482800,1,937.0,348.0,0.0,0.0,449.0,1.0,3.0,238.0,150.0,74886.0,29404800.0,13.0,39.0,277.0,0.0,454800.0,37.14,0.0,0.0,47.92,0.11,0.32,20.65,13.98,3.95,12.34,87.66,0.0,85.49
16,"CORNER OF WEST 2ND ST. AND PRICE STREET, TRAINER, PA 19061",Trainer,39.8266539,-75.3983639,50.0,Pennsylvania,Delaware County,406500,2,904.0,67.0,216.0,1.0,2.0,0.0,2.0,47.0,136.0,36406.0,11162300.0,25.0,125.0,163.0,0.0,97500.0,7.41,23.89,0.11,0.22,0.0,0.22,14.71,15.81,7.99,43.4,56.6,0.0,31.849999999999998
17,"3081 W 17TH ST, ERIE, PA 16505",Erie,42.0938162,-80.1485551,49.31,Pennsylvania,Erie County,10500,3,664.0,34.0,3.0,0.0,0.0,0.0,0.0,31.0,64.0,40263.0,9318800.0,19.0,82.0,211.0,0.0,51700.0,5.12,0.45,0.0,0.0,0.0,0.0,26.06,12.21,6.09,27.99,72.01,0.0,5.57
30,"ARMAND HAMMER BLVD, LOWER POTTSGROVE TOWNSHIP, PA 19464",Lower Pottsgrove Township,40.2325708,-75.6157547,45.91,Pennsylvania,Montgomery County,208704,2,2053.0,60.0,154.0,1.0,62.0,1.0,9.0,466.0,198.0,81853.0,65609300.0,33.0,179.0,644.0,9.0,170000.0,2.92,7.5,0.05,3.02,0.05,0.44,7.71,8.66,3.86,21.75,78.25,1.06,13.98
31,"GRAND AVE, NEVILLE ISLAND, PA 15225",Neville Island,40.5094964,-80.1225373,42.24,Pennsylvania,Allegheny County,461000,1,1084.0,70.0,36.0,3.0,1.0,0.0,2.0,101.0,117.0,36111.0,26002700.0,82.0,256.0,282.0,0.0,80700.0,6.46,3.32,0.28,0.09,0.0,0.18,13.72,10.77,13.23,47.58,52.42,0.0,10.329999999999998
264,"HELMICK ST, NORFOLK, VA 23511",Norfolk,36.9264535,-76.3113022,50.0,Virginia,Norfolk city,901,1,5472.0,752.0,1516.0,43.0,106.0,20.0,11.0,159.0,27.0,45318.0,44339800.0,57.0,998.0,3.0,0.0,0.0,13.74,27.7,0.79,1.94,0.37,0.2,3.01,0.5700000000000001,5.39,99.7,0.30000000000000004,0.0,44.739999999999995
45,"4150 A. OLD BERWICK ROAD, BLOOMSBURG, PA 17815",Bloomsburg,41.01576,-76.376249,70.71,Pennsylvania,Columbia County,50800,2,1968.0,26.0,12.0,0.0,11.0,0.0,1.0,195.0,146.0,39141.0,51559800.0,31.0,152.0,706.0,0.0,127500.0,1.32,0.61,0.0,0.56,0.0,0.05,8.75,7.2,3.49,17.72,82.28,0.0,2.54
18,"4400 MT. PISGAH ROAD, LOWER WINDSOR TWP, PA 17406-8240",Lower Windsor Township,39.9550927,-76.5905848,33.93,Pennsylvania,York County,23301,1,3819.0,94.0,373.0,8.0,60.0,0.0,0.0,675.0,228.0,86083.0,132170300.0,53.0,100.0,1199.0,60.0,221500.0,2.46,9.77,0.21,1.57,0.0,0.0,5.53,5.59,3.92,7.7,92.3,4.15,14.010000000000002
19,"STATE ROUTE 54 AND I-80, VALLEY TOWNSHIP, PA 17821",Valley Township,40.9969874,-76.6481401,46.44,Pennsylvania,Montour County,50400,3,2158.0,26.0,21.0,0.0,27.0,1.0,0.0,501.0,67.0,71563.0,74861000.0,34.0,99.0,742.0,0.0,172000.0,1.2,0.97,0.0,1.25,0.05,0.0,4.58,3.15,3.89,11.77,88.23,0.0,3.4699999999999998
20,"ST &amp; JACKSONVILLE ROAD, WARMINSTER TOWNSHIP, PA 18974",Warminster Township,40.2067884,-75.099807,57.93,Pennsylvania,Bucks County,101609,2,1487.0,64.0,40.0,0.0,36.0,1.0,2.0,155.0,236.0,61544.0,36486400.0,11.0,85.0,515.0,0.0,243800.0,4.3,2.69,0.0,2.42,0.07,0.13,11.26,16.42,1.8,14.17,85.83,0.0,9.610000000000001
21,"OFF STATE HIGHWAY 641, MECHANICSBURG, PA 17055",Mechanicsburg,40.202896,-77.0426223,50.0,Pennsylvania,Cumberland County,11700,1,669.0,13.0,2.0,2.0,6.0,0.0,0.0,62.0,0.0,52539.0,15417700.0,13.0,59.0,219.0,0.0,171900.0,1.94,0.30000000000000004,0.30000000000000004,0.9,0.0,0.0,9.18,0.0,4.47,21.22,78.78,0.0,3.44
22,"162 N MAIN ST, SOUDERTON, PA 18964",Souderton,40.3114597,-75.3247731,35.57,Pennsylvania,Montgomery County,207201,3,971.0,131.0,33.0,2.0,58.0,1.0,1.0,196.0,47.0,51250.0,24330800.0,19.0,140.0,227.0,0.0,209700.0,13.49,3.4,0.21,5.97,0.1,0.1,5.49,5.5,4.92,38.15,61.85,0.0,23.270000000000003
