id,address,city,latitude,longitude,site_score,state_name,county_name,state_and_county,tract,block_group,tot_population_cen_2010,hispanic_cen_2010,nh_blk_alone_cen_2010,nh_aian_alone_cen_2010,nh_asian_alone_cen_2010,nh_nhopi_alone_cen_2010,nh_sor_alone_cen_2010,college_acs_09_13,no_health_ins_acs_09_13,med_hhd_inc_bg_acs_09_13,aggregate_hh_inc_acs_09_13,tot_vacant_units_cen_2010,renter_occp_hu_cen_2010,owner_occp_hu_cen_2010,no_plumb_acs_09_13,med_house_value_bg_acs_09_13,pct_hispanic_cen_2010,pct_nh_blk_alone_cen_2010,pct_nh_aian_alone_cen_2010,pct_nh_asian_alone_cen_2010,pct_nh_nhopi_alone_cen_2010,pct_nh_sor_alone_cen_2010,pct_not_hs_grad_acs_09_13,pct_no_health_ins_acs_09_13,pct_vacant_units_cen_2010,pct_renter_occp_hu_cen_2010,pct_owner_occp_hu_cen_2010,pct_no_plumb_acs_09_13,pct_poc
568,"OFF AL HWY 202, ANNISTON, AL 36253",Anniston,33.6232136,-85.9236791,51.91,Alabama,Calhoun County,"Alabama, Calhoun County",1500,3,1247,14,29,12,3,0,0,29,169,30400,19499500,54,105,395,0,85600,1.12,2.33,0.96,0.24,0,0,25.1,14.24,9.75,21,79,0,4.65
456,"HIGHWAY 134 WEST, HEADLAND, AL 36345",Headland,31.3514663,-85.3421466,55.61,Alabama,Henry County,"Alabama, Henry County",30500,3,2227,25,501,9,7,0,1,350,234,49747,49086900,95,355,593,40,133300,1.12,22.5,0.4,0.31,0,0.04,9.16,11.74,9.11,37.45,62.55,3.95,24.37
790,"1247 BORDEN AVE SE, LEEDS, AL 35094",Leeds,33.5386515,-86.5337842,42.86,Alabama,Jefferson County,"Alabama, Jefferson County",11001,2,882,52,56,2,5,0,2,99,151,31635,13543800,55,98,271,0,86300,5.9,6.35,0.23,0.57,0,0.23,31.31,16.93,12.97,26.56,73.44,0,13.28
114,"USAMICOM DRSMI KL, LIMESTONE/MORGAN, AL 35898","Limestone, Morgan",34.63,-86.65,61.42,Alabama,Madison County,"Alabama, Madison County",11100,1,1955,210,377,20,33,7,6,142,85,59286,22903300,36,341,7,3,,10.74,19.28,1.02,1.69,0.36,0.31,5.02,5.72,9.38,97.99,2.01,0.96,33.4
1012,"Postal Address is unavailable for the Site, HUNTSVILLE, AL 35808",Huntsville,34.6729904,-86.6510329,50,Alabama,Madison County,"Alabama, Madison County",11100,1,1955,210,377,20,33,7,6,142,85,59286,22903300,36,341,7,3,,10.74,19.28,1.02,1.69,0.36,0.31,5.02,5.72,9.38,97.99,2.01,0.96,33.4
1234,"13440 Highway 43 North, AXIS, AL 36505",Axis,30.9739275,-88.0269003,32.34,Alabama,Mobile County,"Alabama, Mobile County",5700,3,2366,46,431,55,4,4,0,94,218,33405,34865100,121,203,671,36,114500,1.94,18.22,2.32,0.17,0.17,0,19.35,10.81,12.16,23.23,76.77,4.16,22.82
1123,"US HWY 43, BUCKS, AL 36512",Bucks,31.0097429,-88.0248974,46.77,Alabama,Mobile County,"Alabama, Mobile County",5800,1,1603,18,668,31,0,0,1,45,120,32639,22422500,86,115,526,60,110400,1.12,41.67,1.93,0,0,0.06,19.01,10.58,11.83,17.94,82.06,8.73,44.78
3,"3017 BIRMINGHAM HWY, MONTGOMERY, AL 36108",Montgomery,32.3670357,-86.3729352,44.46,Alabama,Montgomery County,"Alabama, Montgomery County",6000,1,917,406,341,0,0,0,1,33,408,30930,10671000,95,99,200,0,23700,44.27,37.19,0,0,0,0.11,50.87,33.92,24.11,33.11,66.89,0,81.57
2,"570 HIGHWAY 231 NORTH, VINCENT, AL 35178",Vincent,33.3992313,-86.4049851,30.2,Alabama,Shelby County,"Alabama, Shelby County",30102,1,1401,12,411,4,0,0,0,68,205,50219,28927500,57,92,483,41,78100,0.86,29.34,0.29,0,0,0,30.23,14.5,9.02,16,84,7.02,30.49
1,"STATE HWY 235, CHILDERSBURG, AL 35044",Childersburg,33.286432,-86.3588071,36.83,Alabama,Talladega County,"Alabama, Talladega County",11300,1,1449,18,270,1,3,0,2,168,67,36534,24820900,91,117,498,0,108600,1.24,18.63,0.07,0.21,0,0.14,17.62,5.32,12.89,19.02,80.98,0,20.29
